Market,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,London Fix,London Fix,London Fix,London Fix,London Fix,London Fix,London Fix,HSRA,Interest Rates,Interest Rates,London Fix,London Fix,London Fix,London Fix,London Fix,London Fix,London Fix,HSRA,Interest Rates,Interest Rates,London Fix,London Fix,London Fix,London Fix,London Fix,London Fix,London Fix,HSRA,Interest Rates,Interest Rates,Stock,Stock,CPI,CPIAUCSL_PC1,FEDFUNDS,Real US Short Term Interest Rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep 04, 412.15 , 6.73 , 866.00 , 217.00 , 415.00 , 6.87 , 883.00 , 235.00 ,0.7176,0.7181, 79.88 , 79.98 , 111.37 , 111.59 , 583.71 , 9.63 ," 1,240.30 ", 303.88 , 588.40 , 9.85 ," 1,265.64 ", 328.58 ," 45,785.74 ", 736.53 ," 96,333.84 "," 24,167.29 "," 46,215.59 ", 754.33 ," 98,410.35 "," 26,179.00 ", 396.95 , 6.06 , 820.00 , 198.00 , 400.00 , 6.21 , 837.00 , 215.00 , 0.6885 , 0.6890 , 75.55 , 75.65 , 106.89 , 107.09 , 561.69 , 8.63 ," 1,164.79 ", 281.07 , 565.95 , 8.83 ," 1,189.40 ", 305.30 ," 42,627.73 ", 656.40 ," 88,398.03 "," 21,416.00 "," 43,007.34 ", 672.71 ," 90,383.96 "," 23,281.93 ", 404.54 , 6.34 , 841.70 , 204.76 , 407.36 , 6.48 , 858.37 , 221.48 , 0.7016 , 0.7021 , 77.19 , 77.29 , 109.94 , 110.15 , 576.23 , 9.03 ," 1,198.96 ", 291.63 , 580.63 , 9.23 ," 1,223.52 ", 315.65 ," 44,478.28 ", 696.60 ," 92,540.64 "," 22,513.96 "," 44,871.91 ", 713.65 ," 94,550.89 "," 24,397.31 ", 412.35 , 415.65 , 6.76 , 873.00 , 875.00 , 224.00 , 224.00 , 0.7177 , 1.9400 , 5.2500 , 398.10 , 396.30 , 6.13 , 832.00 , 827.00 , 205.00 , 204.50 , 0.6884 , 1.4000 , 5.2500 , 405.40 , 405.25 , 6.40 , 848.25 , 848.11 , 211.23 , 211.50 , 0.7020 ,1.605,5.250," 20,417.80 "," 3,665.00 ",145.4,2.5,1.61,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct 04, 427.95 , 7.40 , 860.00 , 226.00 , 431.00 , 7.55 , 877.00 , 243.00 ,0.7496,0.7501, 80.84 , 80.94 , 111.31 , 111.52 , 592.31 , 9.90 ," 1,184.41 ", 308.12 , 583.22 , 10.10 ," 1,208.65 ", 331.77 ," 46,864.33 ", 792.21 ," 94,634.40 "," 24,908.80 "," 46,983.76 ", 810.48 ," 96,689.25 "," 26,854.63 ", 411.50 , 6.58 , 822.00 , 204.00 , 414.50 , 6.72 , 837.00 , 216.00 , 0.7205 , 0.7161 , 78.87 , 78.97 , 105.50 , 105.70 , 563.28 , 9.13 ," 1,099.85 ", 274.12 , 567.77 , 9.33 ," 1,121.83 ", 292.96 ," 44,753.28 ", 729.39 ," 87,262.69 "," 21,733.00 "," 45,164.74 ", 746.12 ," 88,805.70 "," 23,254.00 ", 419.80 , 7.05 , 837.66 , 211.91 , 422.57 , 7.19 , 853.79 , 228.28 , 0.7329 , 0.7332 , 79.74 , 79.83 , 108.78 , 108.95 , 572.62 , 9.62 ," 1,142.74 ", 289.11 , 576.60 , 9.81 ," 1,165.19 ", 311.57 ," 45,659.31 ", 766.89 ," 91,122.62 "," 23,056.26 "," 46,031.07 ", 783.51 ," 93,021.60 "," 24,876.31 ", 429.00 , 429.15 , 7.44 , 863.00 , 862.00 , 230.00 , 234.00 , 0.7489 , 1.8600 , 5.2500 , 412.45 , 411.25 , 6.74 , 830.00 , 821.50 , 212.00 , 212.00 , 0.7206 , 1.7100 , 5.2500 , 420.31 , 420.46 , 7.10 , 844.21 , 841.43 , 217.99 , 218.14 , 0.7328 ,1.761,5.250," 21,064.75 "," 3,778.60 ",,3.2,1.76,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov 04, 453.20 , 7.72 , 872.00 , 221.00 , 456.25 , 7.87 , 889.00 , 233.00 ,0.7941,0.7945, 81.52 , 81.62 , 106.95 , 107.16 , 583.91 , 9.94 ," 1,132.91 ", 286.90 , 588.31 , 10.15 ," 1,155.75 ", 300.35 ," 46,524.51 ", 794.41 ," 91,856.48 "," 23,284.56 "," 46,925.44 ", 811.26 ," 93,825.06 "," 24,250.64 ", 418.45 , 6.91 , 816.00 , 201.00 , 421.50 , 7.05 , 833.00 , 216.00 , 0.7440 , 0.7446 , 79.13 , 79.23 , 102.18 , 102.31 , 559.35 , 9.26 ," 1,075.65 ", 259.29 , 564.04 , 9.46 ," 1,096.69 ", 279.43 ," 44,394.76 ", 733.84 ," 86,675.28 "," 20,876.52 "," 44,806.72 ", 750.12 ," 88,660.30 "," 22,666.60 ", 438.41 , 7.43 , 846.98 , 207.90 , 441.25 , 7.57 , 863.40 , 224.38 , 0.7702 , 0.7706 , 80.62 , 80.72 , 104.64 , 104.83 , 568.87 , 9.64 ," 1,099.19 ", 269.83 , 572.92 , 9.83 ," 1,121.22 ", 291.41 ," 45,862.75 ", 777.35 ," 88,616.96 "," 21,753.11 "," 46,242.93 ", 793.64 ," 90,498.04 "," 23,519.71 ", 452.00 , 453.40 , 7.76 , 878.00 , 877.00 , 220.00 , 220.00 , 0.7930 , 2.0600 , 5.2500 , 422.20 , 423.50 , 7.05 , 828.00 , 826.00 , 210.00 , 209.00 , 0.7454 , 1.7300 , 5.2500 , 439.06 , 439.39 , 7.49 , 854.18 , 854.41 , 214.00 , 213.70 , 0.7698 ,1.932,5.250," 22,036.15 "," 3,931.30 ",,3.6,1.93,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec 04, 455.40 , 8.02 , 874.00 , 209.00 , 458.25 , 8.11 , 890.00 , 222.00 ,0.7821,0.7824, 80.48 , 80.58 , 105.90 , 106.05 , 586.57 , 10.29 ," 1,126.45 ", 268.92 , 591.11 , 10.44 ," 1,148.83 ", 286.16 ," 46,605.64 ", 820.77 ," 89,814.24 "," 21,434.40 "," 46,956.88 ", 833.63 ," 91,714.50 "," 22,852.68 ", 432.20 , 6.58 , 813.50 , 170.00 , 435.25 , 6.73 , 830.50 , 181.00 , 0.7487 , 0.7490 , 78.67 , 78.77 , 101.98 , 102.15 , 559.95 , 8.66 ," 1,077.48 ", 223.27 , 564.40 , 8.86 ," 1,100.44 ", 237.50 ," 44,706.14 ", 691.14 ," 85,108.37 "," 17,748.00 "," 45,119.07 ", 705.07 ," 87,036.40 "," 18,878.30 ", 442.54 , 7.09 , 844.83 , 186.25 , 445.44 , 7.24 , 861.12 , 202.70 , 0.7678 , 0.7683 , 79.65 , 79.74 , 103.68 , 103.87 , 576.02 , 9.23 ," 1,099.60 ", 242.40 , 580.15 , 9.42 ," 1,121.48 ", 263.98 ," 45,877.16 ", 735.13 ," 87,580.36 "," 19,304.86 "," 46,262.27 ", 751.33 ," 89,432.20 "," 21,049.19 ", 455.75 , 454.20 , 8.04 , 875.75 , 884.00 , 211.00 , 211.00 , 0.7798 , 2.3400 , 5.2500 , 433.90 , 434.00 , 6.69 , 827.00 , 822.00 , 179.00 , 178.00 , 0.7489 , 1.9700 , 5.2500 , 442.97 , 442.07 , 7.10 , 850.60 , 847.95 , 191.88 , 192.03 , 0.7670 ,2.156,5.250," 22,749.50 "," 4,050.60 ",146.5,3.3,2.16,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan 05, 437.70 , 6.78 , 866.00 , 186.00 , 439.30 , 6.93 , 882.00 , 203.00 ,0.7809,0.7819, 80.17 , 80.27 , 104.83 , 105.00 , 559.79 , 8.80 ," 1,131.41 ", 244.55 , 563.83 , 9.00 ," 1,153.19 ", 267.23 ," 44,693.55 ", 695.45 ," 89,726.26 "," 19,256.65 "," 44,991.14 ", 711.92 ," 91,525.14 "," 21,054.46 ", 417.70 , 6.35 , 834.00 , 172.00 , 420.75 , 6.50 , 851.00 , 189.00 , 0.7517 , 0.7520 , 77.07 , 77.17 , 101.95 , 102.15 , 545.71 , 8.18 ," 1,079.73 ", 222.11 , 549.86 , 8.38 ," 1,100.98 ", 242.81 ," 42,932.44 ", 654.30 ," 86,269.78 "," 17,746.34 "," 43,328.44 ", 671.06 ," 88,073.89 "," 19,423.53 ", 424.10 , 6.57 , 852.75 , 179.61 , 426.85 , 6.72 , 868.46 , 195.96 , 0.7656 , 0.7661 , 79.02 , 79.11 , 103.15 , 103.33 , 553.64 , 8.58 ," 1,113.22 ", 234.47 , 557.56 , 8.78 ," 1,134.43 ", 255.98 ," 43,745.37 ", 678.00 ," 87,956.75 "," 18,525.77 "," 44,103.94 ", 694.14 ," 89,732.23 "," 20,247.65 ", 427.60 , 427.75 , 6.81 , 871.00 , 871.00 , 192.00 , 191.00 , 0.7786 , 2.5000 , 5.2500 , 421.25 , 420.00 , 6.39 , 843.00 , 844.00 , 180.00 , 180.00 , 0.7543 , 1.9700 , 5.2500 , 424.08 , 424.03 , 6.61 , 858.65 , 858.98 , 185.60 , 186.03 , 0.7649 ,2.279,5.250," 23,068.61 "," 4,107.80 ",,2.8,2.28,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb 05, 436.00 , 7.47 , 872.00 , 184.00 , 438.80 , 7.62 , 889.00 , 201.00 ,0.7936,0.7939, 83.39 , 83.49 , 105.81 , 105.97 , 552.14 , 9.43 ," 1,130.27 ", 237.54 , 555.77 , 9.62 ," 1,151.30 ", 259.69 ," 45,602.11 ", 780.76 ," 91,227.94 "," 19,071.60 "," 45,978.44 ", 797.32 ," 93,180.02 "," 20,873.85 ", 411.20 , 6.45 , 840.00 , 171.00 , 414.25 , 6.59 , 856.00 , 188.00 , 0.7635 , 0.7640 , 80.11 , 80.21 , 103.49 , 103.69 , 531.02 , 8.40 ," 1,076.55 ", 217.72 , 535.05 , 8.60 ," 1,098.83 ", 239.39 ," 43,026.67 ", 675.90 ," 88,468.80 "," 17,971.49 "," 43,394.82 ", 692.67 ," 90,265.20 "," 19,783.08 ", 422.51 , 7.00 , 858.43 , 176.02 , 425.34 , 7.14 , 874.83 , 192.46 , 0.7812 , 0.7816 , 81.95 , 82.04 , 104.84 , 105.02 , 540.55 , 8.95 ," 1,098.39 ", 225.23 , 544.43 , 9.14 ," 1,119.93 ", 246.38 ," 44,296.93 ", 733.94 ," 89,996.32 "," 18,453.25 "," 44,668.49 ", 750.39 ," 91,871.59 "," 20,210.51 ", 436.55 , 435.45 , 7.55 , 881.00 , 877.00 , 189.50 , 190.00 , 0.7940 , 2.5700 , 5.2500 , 411.50 , 411.10 , 6.49 , 847.00 , 850.00 , 179.00 , 178.00 , 0.7664 , 2.2900 , 5.2500 , 423.43 , 423.35 , 7.03 , 864.85 , 864.33 , 182.90 , 182.28 , 0.7808 ,2.502,5.250," 23,581.00 "," 4,173.00 ",,3.1,2.50,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar 05, 445.10 , 7.54 , 880.00 , 202.00 , 447.80 , 7.69 , 896.00 , 219.00 ,0.7982,0.7985, 83.43 , 83.53 , 107.51 , 107.67 , 561.12 , 9.49 ," 1,113.28 ", 253.36 , 565.26 , 9.68 ," 1,131.42 ", 274.85 ," 46,250.41 ", 784.01 ," 91,886.85 "," 21,115.06 "," 46,645.38 ", 800.14 ," 93,672.90 "," 22,933.68 ", 423.80 , 6.83 , 846.00 , 175.00 , 426.00 , 6.93 , 862.00 , 191.00 , 0.7675 , 0.7680 , 81.66 , 81.69 , 103.51 , 103.75 , 545.43 , 8.82 ," 1,082.02 ", 221.10 , 548.79 , 8.97 ," 1,103.27 ", 242.17 ," 44,828.45 ", 724.67 ," 89,178.08 "," 18,243.75 "," 45,230.16 ", 738.05 ," 90,885.00 "," 19,949.95 ", 434.37 , 7.22 , 861.94 , 191.51 , 437.06 , 7.36 , 878.02 , 207.56 , 0.7862 , 0.7866 , 82.53 , 82.63 , 104.93 , 105.10 , 552.20 , 9.18 ," 1,095.83 ", 243.44 , 555.89 , 9.36 ," 1,116.80 ", 263.97 ," 45,573.47 ", 757.49 ," 90,439.51 "," 20,092.69 "," 45,930.29 ", 773.66 ," 92,275.48 "," 21,812.19 ", 442.75 , 443.70 , 7.57 , 883.00 , 883.00 , 207.00 , 208.00 , 0.7985 , 2.9600 , 5.5000 , 424.90 , 425.15 , 6.92 , 858.00 , 859.00 , 182.00 , 183.50 , 0.7677 , 2.3900 , 5.2500 , 434.35 , 434.32 , 7.26 , 867.90 , 867.58 , 197.14 , 197.82 , 0.7862 ,2.636,5.492," 23,373.00 "," 4,110.00 ",147.5,3.2,2.63,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr 05, 435.95 , 7.24 , 873.00 , 198.00 , 439.00 , 7.38 , 889.00 , 214.00 ,0.7836,0.7838, 83.63 , 83.73 , 108.68 , 108.85 , 560.97 , 9.34 ," 1,124.76 ", 255.78 , 564.65 , 9.53 ," 1,148.22 ", 275.88 ," 46,310.04 ", 774.65 ," 93,098.78 "," 21,184.02 "," 46,685.60 ", 791.14 ," 95,093.13 "," 22,889.77 ", 421.45 , 6.85 , 848.00 , 188.00 , 424.50 , 6.98 , 865.00 , 203.00 , 0.7628 , 0.7632 , 82.02 , 82.07 , 104.74 , 104.84 , 548.05 , 8.78 ," 1,095.94 ", 240.47 , 552.23 , 8.94 ," 1,117.92 ", 261.10 ," 45,242.44 ", 722.74 ," 89,971.66 "," 19,734.36 "," 45,605.40 ", 737.51 ," 91,839.84 "," 21,501.60 ", 427.68 , 7.04 , 858.42 , 192.03 , 430.41 , 7.18 , 874.36 , 207.84 , 0.7723 , 0.7727 , 82.90 , 82.99 , 107.30 , 107.46 , 553.51 , 9.11 ," 1,110.99 ", 248.53 , 557.30 , 9.30 ," 1,132.15 ", 269.13 ," 45,885.79 ", 755.32 ," 92,102.10 "," 20,603.52 "," 46,250.25 ", 771.87 ," 93,957.63 "," 22,335.01 ", 434.70 , 437.00 , 7.29 , 878.00 , 880.00 , 203.00 , 203.00 , 0.7798 , 2.9700 , 5.5000 , 423.65 , 423.45 , 6.94 , 858.00 , 855.00 , 196.00 , 196.00 , 0.7633 , 2.6300 , 5.5000 , 429.14 , 429.23 , 7.12 , 865.71 , 864.86 , 198.44 , 198.81 , 0.7721 ,2.785,5.500," 22,664.00 "," 3,983.00 ",,3.4,2.79,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 05, 433.20 , 7.23 , 875.00 , 190.00 , 436.00 , 7.37 , 892.00 , 206.50 ,0.7819,0.7821, 82.32 , 82.68 , 108.30 , 108.51 , 555.83 , 9.50 ," 1,134.38 ", 248.91 , 559.82 , 9.69 ," 1,156.54 ", 268.91 ," 45,524.99 ", 780.91 ," 92,704.80 "," 20,311.52 "," 45,906.44 ", 797.58 ," 94,676.85 "," 21,960.54 ", 415.50 , 6.75 , 842.00 , 177.00 , 418.30 , 6.90 , 859.00 , 192.00 , 0.7540 , 0.7545 , 80.67 , 80.77 , 104.13 , 104.32 , 547.08 , 8.68 ," 1,104.41 ", 232.22 , 550.07 , 8.88 ," 1,126.65 ", 253.16 ," 44,569.00 ", 709.46 ," 89,765.62 "," 19,071.75 "," 44,903.92 ", 726.31 ," 91,724.02 "," 20,764.80 ", 421.85 , 6.96 , 859.65 , 183.43 , 424.55 , 7.10 , 875.58 , 199.15 , 0.7658 , 0.7662 , 81.68 , 81.77 , 106.62 , 106.79 , 550.58 , 9.08 ," 1,122.05 ", 239.39 , 554.36 , 9.27 ," 1,143.37 ", 260.04 ," 44,969.63 ", 741.82 ," 91,646.32 "," 19,552.10 "," 45,331.87 ", 758.30 ," 93,496.70 "," 21,263.55 ", 430.50 , 429.15 , 7.18 , 881.00 , 878.00 , 195.00 , 195.00 , 0.7804 , 3.0600 , 5.5000 , 416.90 , 414.45 , 6.85 , 855.00 , 853.00 , 103.10 , 103.40 , 0.7545 , 2.9500 , 5.5000 , 422.90 , 421.87 , 7.02 , 866.95 , 866.35 , 185.56 , 185.27 , 0.7657 ,3.000,5.500," 23,413.00 "," 4,106.00 ",,2.9,3.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 05, 442.20 , 7.50 , 893.00 , 188.00 , 445.20 , 7.65 , 909.00 , 203.00 ,0.7790,0.7795, 84.89 , 84.99 , 110.64 , 110.91 , 572.56 , 9.91 ," 1,156.36 ", 248.71 , 576.88 , 10.12 ," 1,179.65 ", 268.73 ," 48,272.45 ", 808.65 ," 97,466.88 "," 20,465.68 "," 48,660.36 ", 826.43 ," 99,264.45 "," 22,135.12 ", 414.20 , 7.02 , 854.00 , 175.00 , 417.00 , 7.16 , 871.00 , 191.50 , 0.7489 , 0.7494 , 81.34 , 81.41 , 106.53 , 106.65 , 549.62 , 9.19 ," 1,121.23 ", 229.24 , 553.56 , 9.38 ," 1,142.49 ", 251.60 ," 44,986.26 ", 769.41 ," 92,479.66 "," 19,053.76 "," 45,373.77 ", 786.61 ," 94,349.88 "," 20,791.68 ", 429.58 , 7.25 , 873.98 , 180.42 , 432.33 , 7.39 , 890.13 , 196.29 , 0.7659 , 0.7663 , 83.24 , 83.32 , 108.62 , 108.79 , 560.58 , 9.46 ," 1,140.56 ", 235.45 , 564.45 , 9.65 ," 1,162.22 ", 256.29 ," 46,665.93 ", 787.26 ," 94,936.34 "," 19,596.74 "," 47,035.55 ", 804.06 ," 96,836.13 "," 21,353.22 ", 442.95 , 440.55 , 7.53 , 900.00 , 897.00 , 190.50 , 189.00 , 0.7794 , 3.3500 , 5.5000 , 416.10 , 415.35 , 7.07 , 867.00 , 868.00 , 182.50 , 182.50 , 0.7500 , 2.9300 , 5.5000 , 430.31 , 430.55 , 7.31 , 880.34 , 880.11 , 186.49 , 186.55 , 0.7665 ,3.036,5.500," 24,534.00 "," 4,278.00 ",148.4,2.5,3.04,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul 05, 434.20 , 7.18 , 890.50 , 188.00 , 437.00 , 7.31 , 905.50 , 205.00 ,0.7674,0.7676, 85.84 , 85.94 , 116.24 , 116.42 , 573.58 , 9.48 ," 1,176.35 ", 248.35 , 577.53 , 9.66 ," 1,196.49 ", 268.25 ," 49,181.14 ", 808.90 ," 100,323.73 "," 21,180.08 "," 49,606.56 ", 824.71 ," 102,158.51 "," 22,817.20 ", 418.50 , 6.79 , 850.00 , 165.00 , 421.50 , 6.93 , 865.00 , 180.00 , 0.7380 , 0.7382 , 82.83 , 82.93 , 110.38 , 110.57 , 554.06 , 9.04 ," 1,136.24 ", 219.39 , 558.03 , 9.22 ," 1,159.63 ", 239.43 ," 46,809.28 ", 756.88 ," 94,783.50 "," 18,405.75 "," 47,217.58 ", 774.99 ," 96,637.80 "," 20,176.20 ", 424.17 , 6.96 , 868.06 , 178.31 , 426.88 , 7.10 , 884.08 , 194.19 , 0.7525 , 0.7529 , 84.24 , 84.33 , 111.89 , 112.07 , 563.44 , 9.25 ," 1,153.00 ", 236.80 , 567.32 , 9.44 ," 1,174.86 ", 258.02 ," 47,458.13 ", 778.97 ," 97,123.69 "," 19,950.77 "," 47,838.86 ", 796.20 ," 99,076.52 "," 21,762.39 ", 434.20 , 432.60 , 7.15 , 896.00 , 898.00 , 192.00 , 194.00 , 0.7646 , 3.3600 , 5.5000 , 419.60 , 418.35 , 6.89 , 864.00 , 860.00 , 172.00 , 172.00 , 0.7386 , 2.9900 , 5.5000 , 424.75 , 424.48 , 7.01 , 874.38 , 873.64 , 184.48 , 184.50 , 0.7525 ,3.263,5.500," 25,173.00 "," 4,389.00 ",,3.1,3.26,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug 05, 448.50 , 7.23 , 918.00 , 187.00 , 451.60 , 7.38 , 933.50 , 204.00 ,0.7751,0.7755, 86.31 , 86.41 , 112.69 , 112.85 , 582.48 , 9.49 ," 1,192.95 ", 247.42 , 586.72 , 9.69 ," 1,211.19 ", 268.45 ," 49,101.78 ", 809.07 ," 101,393.53 "," 21,073.03 "," 49,531.49 ", 827.43 ," 103,441.80 "," 22,903.08 ", 428.30 , 6.67 , 878.00 , 175.00 , 431.10 , 6.77 , 889.00 , 184.00 , 0.7469 , 0.7473 , 82.71 , 82.81 , 109.02 , 109.19 , 562.80 , 8.82 ," 1,147.60 ", 229.78 , 566.95 , 9.00 ," 1,168.12 ", 242.17 ," 47,866.59 ", 732.97 ," 96,373.68 "," 19,216.75 "," 48,085.80 ", 749.85 ," 97,621.09 "," 20,265.76 ", 436.89 , 6.96 , 893.41 , 180.78 , 439.59 , 7.10 , 908.98 , 196.10 , 0.7612 , 0.7615 , 84.24 , 84.32 , 110.62 , 110.78 , 573.74 , 9.15 ," 1,173.19 ", 237.38 , 577.57 , 9.33 ," 1,194.22 ", 257.62 ," 48,323.96 ", 770.45 ," 98,825.93 "," 19,998.61 "," 48,696.52 ", 786.83 ," 100,701.73 "," 21,726.70 ", 447.25 , 447.25 , 7.26 , 924.00 , 915.00 , 192.50 , 193.00 , 0.7744 , 3.6300 , 5.5000 , 431.35 , 430.65 , 6.74 , 887.00 , 887.00 , 182.50 , 182.00 , 0.7471 , 3.2000 , 5.5000 , 437.77 , 437.93 , 7.04 , 899.91 , 898.64 , 186.84 , 186.61 , 0.7616 ,3.500,5.500," 25,678.00 "," 4,447.00 ",,3.6,3.50,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep 05, 473.95 , 7.51 , 929.00 , 200.00 , 476.90 , 7.66 , 943.00 , 212.00 ,0.7757,0.7761, 86.18 , 86.25 , 113.31 , 113.49 , 621.94 , 9.88 ," 1,214.15 ", 259.61 , 626.30 , 10.08 ," 1,236.01 ", 275.32 ," 53,544.60 ", 850.51 ," 104,538.98 "," 22,266.00 "," 53,969.99 ", 868.87 ," 106,510.77 "," 23,597.72 ", 434.20 , 6.77 , 882.00 , 176.00 , 435.75 , 6.86 , 895.00 , 184.00 , 0.7536 , 0.7540 , 83.38 , 83.48 , 108.75 , 108.87 , 574.64 , 8.94 ," 1,160.79 ", 227.60 , 576.31 , 9.07 ," 1,180.91 ", 240.11 ," 48,013.84 ", 748.63 ," 97,646.22 "," 19,277.28 "," 48,254.96 ", 759.68 ," 99,112.30 "," 20,181.12 ", 455.06 , 7.11 , 909.56 , 183.15 , 457.70 , 7.24 , 924.31 , 197.90 , 0.7662 , 0.7665 , 84.98 , 85.06 , 110.87 , 111.02 , 593.70 , 9.27 ," 1,186.62 ", 238.97 , 597.43 , 9.45 ," 1,206.44 ", 258.33 ," 50,460.79 ", 787.84 ," 100,846.54 "," 20,311.01 "," 50,823.85 ", 804.03 ," 102,623.96 "," 21,976.45 ", 473.40 , 473.25 , 7.53 , 930.00 , 930.00 , 202.00 , 201.00 , 0.7751 , 3.9300 , 5.5000 , 435.50 , 439.60 , 6.86 , 893.00 , 897.00 , 182.50 , 182.50 , 0.7540 , 3.4500 , 5.5000 , 455.94 , 456.04 , 7.15 , 914.59 , 914.64 , 188.77 , 188.91 , 0.7651 ,3.623,5.500," 26,982.00 "," 4,641.00 ",149.8,4.7,3.62,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
